user_id, q1, sq1, sq2, sq3, q2, sq4, sq5, sq6, sq7, q3, sq8, sq9, sq10, ee_result
"1697108771916","yes","Yes but enforced by law/government","Yes but enforced by law/government","Yes but enforced by law/government","no","","","","","no","","","","1"
"1697108771916","no","","","","no","","","","","no","","","","0"
"1697108771916","yes","Yes but voluntary","Yes but voluntary","Yes but enforced by industry","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697108771916","yes","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","no","","","","0"
"1697114900757","no","","","","no","","","","","yes","Entirely","Entirely","Entirely","1"
"1697114900757","yes","Yes but voluntary","Yes but voluntary","Yes but enforced by law/government","no","","","","","yes","Partially","Partially","Partially","1"
"1697114900757","yes","","","","no","","","","","yes","","","","0"
"1697114900757","no","","","","yes","Present but not used","Present and planning to use","Present and used","Present and used","no","","","","1"
"1697114900757","no","","","","yes","","","","","no","","","","0"
"1697114900757","no","","","","yes","","","","","no","","","","0"
"1697114900757","no","","","","yes","","","","","no","","","","0"
