user_id, q7, sq20, sq21, sq22, sq23, sq24, q8, sq25, sq26, sq27, sq28, q9, sq29, sq30, sq31, oc_result
"1697165491509","yes","Entirely","Entirely","Entirely","Partially","Partially","no","","","","","no","","","","1"
"1697165491509","yes","Entirely","Partially","Not at all","Partially","Partially","no","","","","","no","","","","0"
"1697165491509","yes","Entirely","Entirely","Partially","Entirely","Partially","no","","","","","no","","","","1"
"1697165491509","yes","Entirely","Entirely","Entirely","Entirely","Entirely","yes","Entirely","Entirely","Partially","Partially","no","","","","1"
"1697165710893","yes","Entirely","Entirely","Entirely","Entirely","Entirely","yes","Partially","Partially","Not at all","Entirely","no","","","","1"
"1697165710893","yes","Entirely","Entirely","Entirely","Entirely","Entirely","yes","Entirely","Entirely","Entirely","Entirely","no","","","","1"
"1697165710893","yes","Entirely","Entirely","Entirely","Entirely","Entirely","yes","Entirely","Entirely","Entirely","Entirely","yes","Not at all","Not at all","Partially","1"
"1697165710893","yes","Entirely","Entirely","Entirely","Entirely","Entirely","yes","Entirely","Entirely","Entirely","Entirely","yes","Entirely","Partially","Partially","2"
"1697165804113","no","","","","","","yes","Entirely","Partially","Partially","Partially","no","","","","0"
"1697165804113","no","","","","","","yes","","","","","no","","","","0"
"1697165804113","no","","","","","","no","","","","","no","","","","0"
"1697165804113","no","","","","","","yes","Entirely","Partially","Partially","Partially","no","","","","0"
"1697165804113","yes","Entirely","Partially","Not at all","Partially","Entirely","no","","","","","no","","","","0"
"1697533598409","yes","Entirely","Entirely","Entirely","Partially","Entirely","no","","","","","no","","","","1"
"1697533598409","yes","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
"1697782037237","yes","Partially","Partially","Partially","Entirely","Entirely","no","","","","","no","","","","0"
"1697782037237","no","","","","","","no","","","","","no","","","","0"
